user_id,episode,group,trust_the_agent,prev_agent,updated_agent,prev_agent_mean_score,update_agent_mean_score,prev_agent_feedback_score,updated_agent_feedback_score,choice_to_update,correct_choice_generalized,correct_choice_feedback,choice_time,improved_from_prev_feedback,improved_from_prev_mean
61523aaa256db1e1d5a6f734,1,Control,1,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,10.4,10.4,1,1,1,0.0,True,True
61523aaa256db1e1d5a6f734,4,Control,1,OnlyBlueLH_0706,OnlyBlueLL_0625,8.84,7.49,8.6,10.2,1,0,1,0.0,True,False
61523aaa256db1e1d5a6f734,5,Control,1,OnlyBlueLL_0625,OnlyBlueLL_0625,7.49,8.84,8.6,11.4,1,1,1,0.0,True,True
5a5d060ee0cf3d0001269471,1,Same,1,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,2.9,5.7,1,1,1,24.0,True,True
5a5d060ee0cf3d0001269471,4,Same,1,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,9.8,10.2,1,1,1,22.0,True,True
5a5d060ee0cf3d0001269471,5,Same,1,NoRedLH1_0612,AllColorsLH_0617,10.87,9.39,9.9,11.0,1,0,1,29.0,True,False
55a1d8e2fdf99b1c103f2660,2,Control,1,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,5.6,11.4,1,1,1,0.0,True,True
55a1d8e2fdf99b1c103f2660,4,Control,1,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.2,11.2,1,1,1,0.0,True,True
681d11acf32ffbb177100579,1,Random,1,AllColorsLL1_0526,OnlyGreenLL_0429,6.48,1.88,8.2,5.6,1,0,0,38.0,False,False
681d11acf32ffbb177100579,2,Random,1,OnlyGreenLL_0429,AllColorsLL1_0526,1.88,6.48,2.4,10.4,1,1,1,25.0,True,True
681d11acf32ffbb177100579,3,Random,1,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,7.6,10.8,0,0,0,17.0,True,True
681d11acf32ffbb177100579,4,Random,1,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,6.7,9.7,0,0,0,17.0,True,True
681d11acf32ffbb177100579,5,Random,1,AllColorsLL1_0526,OnlyGreenLL_0429,6.48,1.88,8.2,-0.5,1,0,0,14.0,False,False
669177c66d14fd83c2a18125,1,Salient-Contrast,1,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,4.9,7.2,1,1,1,15.0,True,True
669177c66d14fd83c2a18125,3,Salient-Contrast,1,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,10.9,13.4,1,1,1,19.0,True,True
66323da1523d26e305334df8,1,Same,0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,4.9,7.2,0,0,0,29.0,True,True
66323da1523d26e305334df8,2,Same,0,AllColorsLL1_0526,OnlyBlueLL_0625,6.48,7.49,7.6,2.7,1,1,0,20.0,False,True
5ecd36302b4d3c05d4cc1ba2,2,Salient-Contrast,0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,5.6,11.4,1,1,1,16.0,True,True
655b901b23209ae4a194a402,1,Random,1,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,3.5,6.1,1,1,1,37.0,True,True
655b901b23209ae4a194a402,2,Random,1,AllColorsLH_0617,OnlyBlueLL_0625,9.39,7.49,9.3,9.7,1,0,1,10.0,True,False
655b901b23209ae4a194a402,3,Random,1,OnlyBlueLL_0625,OnlyGreenLL_0429,7.49,1.88,11.6,5.6,1,0,0,8.0,False,False
655b901b23209ae4a194a402,4,Random,1,OnlyGreenLL_0429,AllColorsLH_0617,1.88,9.39,2.5,5.7,1,1,1,6.0,True,True
655b901b23209ae4a194a402,5,Random,1,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.8,9.3,1,1,1,10.0,True,True
5cbe00898f939c0017c0b9d8,2,Salient-Contrast,0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,7.6,7.8,1,1,1,15.0,True,True
5cbe00898f939c0017c0b9d8,3,Salient-Contrast,0,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.2,11.2,1,1,1,9.0,True,True
5cbe00898f939c0017c0b9d8,5,Salient-Contrast,0,NoRedLH1_0612,OnlyBlueLH_0706,10.87,8.84,12.2,8.6,1,0,0,10.0,False,False
5c5d36bc034e280001644c3b,1,Salient-Contrast,1,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,7.3,7.7,1,1,1,46.0,True,True
