user_id,group,trust_the_agent,number_of_choices,number_of_accepts,number_of_correct_choices_mean,number_of_correct_choices_feedback,final_agent_mean_score,final_agent_name,final_agent_rank,final_agent_final_part_score,age,gender,education,familiar_with_AI,evaluate_final_agent,ES_understandable,ES_overwhelming,ES_feedback_contribution,ES_helpful,ES_combined
545d347afdf99b7f9fca22c7,Same,0,3,2,3,3,10.87,NoRedLH1_0612,1,11.2,35,0,2,4,3.0,7.0,1.0,7.0,7.0,7.0
559b8c79fdf99b5ae13fd3d1,Salient-Contrast,1,3,1,2,1,9.39,AllColorsLH_0617,2,10.2,57,1,2,4,5.0,3.0,7.0,3.0,3.0,2.5
55a1d8e2fdf99b1c103f2660,Control,1,2,2,2,2,9.39,AllColorsLH_0617,2,10.2,54,0,1,5,2.0,,,,,0.0
561cdc083d7fe800050f591a,Same,1,3,3,3,3,10.87,NoRedLH1_0612,1,11.2,59,1,3,4,6.0,4.0,5.0,3.0,3.0,3.25
56b10faa6399f90011da710d,Random,0,1,1,1,1,7.49,OnlyBlueLL_0625,4,1.7,36,1,2,4,5.0,6.0,6.0,6.0,6.0,5.0
56b3edf12bac74000d89e452,Salient-Contrast,0,4,4,3,4,10.87,NoRedLH1_0612,1,11.2,33,1,3,4,3.0,3.0,3.0,4.0,7.0,4.75
56b78f11e77ebe000cbefe79,Random,1,3,2,2,2,8.84,OnlyBlueLH_0706,3,10.4,59,1,3,2,3.0,2.0,5.0,3.0,4.0,3.0
571b79495d40840009c448fe,Same,0,4,3,3,4,9.39,AllColorsLH_0617,2,10.2,46,1,6,4,2.0,6.0,5.0,6.0,6.0,5.25
572faa2cad131600100169b5,Salient-Contrast,1,3,3,3,3,10.87,NoRedLH1_0612,1,11.2,40,1,3,4,5.0,2.0,3.0,3.0,3.0,3.25
573dbfc9cc30e7000dc57410,Same,0,5,4,4,3,9.39,AllColorsLH_0617,2,10.2,60,1,3,2,4.0,6.0,2.0,6.0,6.0,6.0
577a3dfd92c50c0001c9488f,Salient-Contrast,1,2,2,2,2,10.87,NoRedLH1_0612,1,11.2,62,0,2,4,5.0,4.0,4.0,4.0,7.0,4.75
57aa0bdb9ff3e900014135d9,Random,1,3,3,2,2,9.39,AllColorsLH_0617,2,10.2,36,0,3,4,4.0,6.0,3.0,5.0,6.0,5.5
5883d68d300c0b000113db56,Random,1,2,2,2,2,9.39,AllColorsLH_0617,2,10.2,53,1,3,4,7.0,5.0,3.0,5.0,5.0,5.0
58954e2dc88c680001dd4b7e,Control,0,5,5,2,4,1.88,OnlyGreenLL_0429,6,-8.3,60,0,2,4,6.0,,,,,0.0
58a1fe40ea3d11000170d9b9,Same,1,4,2,4,4,10.87,NoRedLH1_0612,1,11.2,33,1,3,4,6.0,5.0,1.0,7.0,7.0,6.5
58cd0bc2a47dbb000171dc8b,Control,0,2,2,2,2,8.84,OnlyBlueLH_0706,3,10.4,61,0,2,4,1.0,,,,,0.0
59142b45ef024b0001c54c33,Control,1,4,4,3,4,9.39,AllColorsLH_0617,2,10.2,45,1,2,4,2.0,,,,,0.0
5959cf88dd044900012cd375,Random,0,4,2,1,1,8.84,OnlyBlueLH_0706,3,10.4,35,0,3,4,2.0,6.0,2.0,5.0,6.0,5.75
5978f6f009bdcf000153f43d,Random,0,4,3,3,3,8.84,OnlyBlueLH_0706,3,10.4,60,0,5,6,2.0,6.0,1.0,7.0,4.0,6.0
599da21f872eec00019569ff,Random,0,4,2,2,2,10.87,NoRedLH1_0612,1,11.2,33,0,2,4,2.0,5.0,3.0,5.0,5.0,5.0
59bc25620ac77f0001f05574,Same,1,1,1,1,1,8.84,OnlyBlueLH_0706,3,10.4,35,1,3,4,7.0,7.0,1.0,7.0,7.0,7.0
59d3ef2c078dbe000195117f,Same,0,4,4,3,3,10.87,NoRedLH1_0612,1,11.2,50,1,3,4,2.0,6.0,1.0,6.0,6.0,6.25
59dccd61e75b450001a689b7,Control,1,3,3,2,2,9.39,AllColorsLH_0617,2,10.2,58,0,4,5,2.0,,,,,0.0
5a198755f2e3460001edc5c9,Same,0,2,1,2,2,8.84,OnlyBlueLH_0706,3,10.4,37,0,2,5,2.0,5.0,1.0,6.0,6.0,6.0
5a5d060ee0cf3d0001269471,Same,1,3,3,2,3,9.39,AllColorsLH_0617,2,10.2,35,1,3,3,3.0,6.0,5.0,6.0,7.0,5.5
5aad226f811b2000016f6be2,Salient-Contrast,0,4,1,4,3,8.84,OnlyBlueLH_0706,3,10.4,46,0,3,3,4.0,2.0,4.0,5.0,6.0,4.25
5aafd9eff69e940001d88bf4,Same,1,2,1,1,1,8.84,OnlyBlueLH_0706,3,10.4,59,1,3,2,4.0,4.0,4.0,3.0,5.0,4.0
5ab8c3fb9534ba0001c6b60d,Control,1,4,4,3,3,7.49,OnlyBlueLL_0625,4,1.7,46,0,3,4,1.0,,,,,0.0
5aea16d3ff24e0000124b803,Random,1,4,4,3,4,10.87,NoRedLH1_0612,1,11.2,37,1,5,3,2.0,5.0,2.0,3.0,6.0,5.0
5b10527374db8f00013fdc57,Salient-Contrast,0,4,2,3,2,8.84,OnlyBlueLH_0706,3,10.4,36,1,2,4,3.0,2.0,4.0,2.0,4.0,3.0
5b9095901e21c10001e9e8ee,Salient-Contrast,0,3,2,3,3,9.39,AllColorsLH_0617,2,10.2,45,0,4,4,2.0,5.0,1.0,1.0,4.0,4.25
5b985404a15058000124e508,Control,0,4,4,3,3,10.87,NoRedLH1_0612,1,11.2,31,0,3,4,2.0,,,,,0.0
5b99663d4cefb60001e7a214,Control,0,5,5,4,4,7.49,OnlyBlueLL_0625,4,1.7,49,1,2,4,3.0,,,,,0.0
5bb62f1a3e969700019bd44d,Same,0,3,3,3,3,10.87,NoRedLH1_0612,1,11.2,44,0,3,4,2.0,7.0,2.0,7.0,6.0,6.5
5bbb5e3f118c0600013c3202,Random,0,2,1,1,1,7.49,OnlyBlueLL_0625,4,1.7,39,1,5,6,1.0,5.0,7.0,4.0,5.0,3.75
5be9e07b887ea400012b46e6,Random,0,3,2,3,3,10.87,NoRedLH1_0612,1,11.2,38,1,3,4,3.0,3.0,5.0,2.0,3.0,2.75
5c2b9ce5b337310001996c05,Same,0,4,3,3,3,9.39,AllColorsLH_0617,2,10.2,38,0,2,4,2.0,7.0,1.0,6.0,7.0,6.75
5c4d8d706b23ab0001a34af2,Random,0,3,2,3,2,10.87,NoRedLH1_0612,1,11.2,30,1,2,4,2.0,6.0,2.0,3.0,6.0,5.25
5c59baa95e09ea00015521d9,Salient-Contrast,0,4,3,2,3,8.84,OnlyBlueLH_0706,3,10.4,36,1,3,5,1.0,3.0,6.0,4.0,4.0,3.25
5c5d36bc034e280001644c3b,Salient-Contrast,1,1,1,1,1,8.84,OnlyBlueLH_0706,3,10.4,57,1,6,3,7.0,5.0,4.0,5.0,5.0,4.75
5c849a40a869d400179ab427,Random,0,3,1,2,2,8.84,OnlyBlueLH_0706,3,10.4,25,3,2,2,3.0,5.0,4.0,5.0,6.0,5.0
5c91fad394f7e600172f9d4a,Control,0,4,4,2,1,6.48,AllColorsLL1_0526,5,3.9,48,1,3,4,3.0,,,,,0.0
