Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68c30f4fbda8275fb8f21028,6664c7aa5c1c7846d3618f74,AWAITING REVIEW,Not Applicable,2025-09-11T18:05:10.207000Z,2025-09-11T19:12:55.672000Z,,2025-09-11T19:12:56.094777Z,4066.0,NOCODE,147,English,"No, I have no issues seeing colours",27,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
68c30f588c5f428cbfb94f23,66f87d84fcfe786a13ff1edb,AWAITING REVIEW,Not Applicable,2025-09-11T18:05:17.824000Z,2025-09-11T18:30:36.713000Z,,2025-09-11T18:30:37.129900Z,1519.0,C7TJCFB5,1012,English,"No, I have no issues seeing colours",69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68c30f8f65c6e8eb856e72fa,677bb2c5448379a16cbf0a9e,AWAITING REVIEW,Not Applicable,2025-09-11T18:06:33.047000Z,2025-09-11T18:25:39.046000Z,,2025-09-11T18:25:39.610799Z,1146.0,C7TJCFB5,370,English,"No, I have no issues seeing colours",29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68c30fc7a41af16863695358,5d8cef3c28e183001a335ab0,AWAITING REVIEW,Not Applicable,2025-09-11T18:07:07.314000Z,2025-09-11T18:32:12.603000Z,,2025-09-11T18:32:13.062866Z,1506.0,C7TJCFB5,6477,English,"No, I have no issues seeing colours",38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c3100dda67925497953ae4,6078b4ad9006e4f6572dde97,AWAITING REVIEW,Not Applicable,2025-09-11T18:08:18.696000Z,2025-09-11T18:28:06.579000Z,,2025-09-11T18:28:06.996123Z,1188.0,C7TJCFB5,3281,English,"No, I have no issues seeing colours",28,Male,Black,United States,United States,United States,English,No,Full-Time
68c3102dba3710bc130bd723,66a641d8eae42f430895d856,AWAITING REVIEW,Not Applicable,2025-09-11T18:09:08.139000Z,2025-09-11T18:29:25.937000Z,,2025-09-11T18:29:26.352458Z,1218.0,C7TJCFB5,631,"Arabic, English","No, I have no issues seeing colours",21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68c310c5d2eb283ed9015fa4,5c4d8d706b23ab0001a34af2,AWAITING REVIEW,Not Applicable,2025-09-11T18:11:27.771000Z,2025-09-11T18:40:56.034000Z,,2025-09-11T18:40:56.480777Z,1769.0,C7TJCFB5,2741,English,"No, I have no issues seeing colours",30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68c310c5da67925497953aff,6128279b17af1258eba39ada,AWAITING REVIEW,Not Applicable,2025-09-11T18:11:26.701000Z,2025-09-11T18:35:17.931000Z,,2025-09-11T18:35:18.362345Z,1432.0,C7TJCFB5,1636,English,"No, I have no issues seeing colours",32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68c310cac4758538020b3d7c,63469a362ae94cb99d4fd99a,AWAITING REVIEW,Not Applicable,2025-09-11T18:11:26.366000Z,2025-09-11T18:32:11.102000Z,,2025-09-11T18:32:11.482141Z,1245.0,C7TJCFB5,1600,English,"No, I have no issues seeing colours",29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c310eee32a64f3861dfded,66c2c77d5b9a0a6d850046bb,AWAITING REVIEW,Not Applicable,2025-09-11T18:12:02.375000Z,2025-09-11T18:30:40.334000Z,,2025-09-11T18:30:40.782100Z,1118.0,C7TJCFB5,2083,English,"No, I have no issues seeing colours",45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68c3111adafa13f192a49d3c,65cd90916d6c5ca9f796e9a3,AWAITING REVIEW,Not Applicable,2025-09-11T18:13:46.668000Z,2025-09-11T18:32:28.891000Z,,2025-09-11T18:32:29.280399Z,1123.0,C7TJCFB5,3934,English,"No, I have no issues seeing colours",37,Female,Black,United States,United States,United States,English,No,Full-Time
68c311461905760366785947,669b46825041be036247d1a2,AWAITING REVIEW,Not Applicable,2025-09-11T18:13:38.930000Z,2025-09-11T18:36:18.591000Z,,2025-09-11T18:36:19.031095Z,1360.0,C7TJCFB5,1887,"English, Spanish","No, I have no issues seeing colours",39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68c3114f6adb8ebd98e9d5b9,6694154a46060b3c49b2d6fd,AWAITING REVIEW,Not Applicable,2025-09-11T18:13:53.731000Z,2025-09-11T18:39:06.624000Z,,2025-09-11T18:39:07.147816Z,1513.0,C7TJCFB5,1011,English,"No, I have no issues seeing colours",28,Male,White,Canada,Canada,Canada,English,No,Full-Time
