Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68c171cd3adc6102b136c2cf,66c5ee0d624ca2722eebfa1c,RETURNED,Not Applicable,2025-09-10T12:40:49.059000Z,,,2025-09-10T13:31:21.092476Z,,,107,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68c17207887a46336c2454ea,5bce39ceb8bc680001c67555,AWAITING REVIEW,Not Applicable,2025-09-10T12:41:56.279000Z,2025-09-10T13:05:35.560000Z,,2025-09-10T13:05:36.128296Z,1420.0,C7TJCFB5,358,English,"No, I have no issues seeing colours",29,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
68c1724e235c64df8f6d5bae,5aff33bae55f90000139f664,AWAITING REVIEW,Not Applicable,2025-09-10T12:42:56.755000Z,2025-09-10T13:24:58.529000Z,,2025-09-10T13:24:58.967579Z,2522.0,C7TJCFB5,2782,"English, Italian","No, I have no issues seeing colours",38,Male,White,Italy,United Kingdom,Italy,Italian,No,Part-Time
68c1726ec762a26da02940d1,5c81582c4c1a61000155584f,AWAITING REVIEW,Not Applicable,2025-09-10T12:43:35.893000Z,2025-09-10T13:18:47.068000Z,,2025-09-10T13:18:47.436639Z,2112.0,C7TJCFB5,3009,English,"No, I have no issues seeing colours",49,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
68c1728aa57a123eab310b34,55e876f25e4d360012cc283d,AWAITING REVIEW,Not Applicable,2025-09-10T12:43:58.495000Z,2025-09-10T13:03:04.159000Z,,2025-09-10T13:03:04.573020Z,1146.0,C7TJCFB5,2173,English,"No, I have no issues seeing colours",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c172965e8a82783a4439c4,637e3bedd8c3601a81a65889,AWAITING REVIEW,Not Applicable,2025-09-10T12:44:09.368000Z,2025-09-10T13:01:15.025000Z,,2025-09-10T13:01:15.460441Z,1026.0,C7TJCFB5,3099,English,"No, I have no issues seeing colours",54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c172aef10d9391d64da1ac,5ea9a6a68db51d0dfd2edfe2,AWAITING REVIEW,Not Applicable,2025-09-10T12:46:23.473000Z,2025-09-10T13:35:39.660000Z,,2025-09-10T13:35:40.109403Z,2957.0,C7TJCFB5,1081,English,"No, I have no issues seeing colours",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68c172baf98fbe6940de75c6,5ebc0abd2cc5f1054c82a0d7,AWAITING REVIEW,Not Applicable,2025-09-10T12:44:54.201000Z,2025-09-10T13:06:45.025000Z,,2025-09-10T13:06:45.418837Z,1311.0,C7TJCFB5,2082,English,"No, I have no issues seeing colours",43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c172ffd861c3c95daa2965,5c2ebf3e626018000134986f,AWAITING REVIEW,Not Applicable,2025-09-10T12:45:56.055000Z,2025-09-10T13:18:05.708000Z,,2025-09-10T13:18:06.105303Z,1930.0,C7TJCFB5,1959,English,"No, I have no issues seeing colours",43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c1783567a514fa61d95a5b,67b5c6ec6311c086aa61cd96,RETURNED,Not Applicable,2025-09-10T13:14:22.292000Z,,,2025-09-10T13:31:21.095959Z,,,651,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68c17ea53e1ce436bde9583b,67606cca6591f7023be55e8e,AWAITING REVIEW,Not Applicable,2025-09-10T13:35:36.637000Z,2025-09-10T13:52:50.632000Z,,2025-09-10T13:52:51.013785Z,1034.0,C7TJCFB5,930,English,"No, I have no issues seeing colours",45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
68c18021edb8b99f54fe33f3,631610af8e747093cd90e00d,AWAITING REVIEW,Not Applicable,2025-09-10T13:41:57.343000Z,2025-09-10T14:24:11.498000Z,,2025-09-10T14:24:12.148177Z,2535.0,C7TJCFB5,4241,English,"No, I have no issues seeing colours",40,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68c17203a3a32e88230dba27,56ebadebcdfa81000d9e2b67,RETURNED,Not Applicable,2025-09-10T12:41:57.046000Z,2025-09-10T13:07:26.185000Z,,2025-09-10T13:07:26.668000Z,,C7TJCFB5,2880,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
