user_id,episode,similarity_level,Trust_the_agent,feedback_score,prev_agent,update_agent,prev_agent_last_score,update_agent_last_score,prev_agent_mean_score,update_agent_mean_score,choice,good_choice,good_choice_last,choice_time,examples_shown,board_index,improved_from_base,improved_from_base_last,improved_from_prev_last,improved_from_prev_mean,final_agent,final_agent_score
62e023ae6d022e4d7bfc5db1,4,2,1,1.0,AllColorsLL1_0526,AllColorsLL2_0604,7.1,6.9,3.26,2.34,1.0,0.0,0.0,7.0,1.0,2.0,-1.0,-1.0,False,False,AllColorsLL2_0604,5.0
6553a9fad9d3c60da28bea04,1,0,0,,AllColorsLL1_0526,AllColorsLH_0617,-8.9,1.6,3.26,4.42,1.0,1.0,1.0,0.0,0.0,14.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
6553a9fad9d3c60da28bea04,2,0,0,,AllColorsLH_0617,NoRedLH3_0612,7.8,8.7,4.42,4.62,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
6553a9fad9d3c60da28bea04,3,0,0,,NoRedLH3_0612,AllColorsLH_0617,2.7,5.9,4.62,4.42,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,True,False,NoRedLH3_0612,13.1
6553a9fad9d3c60da28bea04,4,0,0,,AllColorsLH_0617,NoRedLH3_0612,10.2,11.7,4.42,4.62,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
6553a9fad9d3c60da28bea04,5,0,0,,NoRedLH3_0612,NoRedLH3_0612,4.6,7.7,4.62,4.13,1.0,0.0,1.0,0.0,0.0,10.0,1.0,1.0,True,False,NoRedLH3_0612,13.1
56aa0d98402d62000a6f8ae5,4,2,0,2.0,AllColorsLL1_0526,AllColorsLL2_0604,5.7,6.1,3.26,2.34,0.0,1.0,0.0,12.0,1.0,17.0,-1.0,1.0,True,False,AllColorsLL1_0526,13.4
6674bd2b56aae0985600d533,1,1,0,1.0,AllColorsLL1_0526,AllColorsLH_0617,2.7,7.8,3.26,4.42,0.0,0.0,0.0,25.0,2.0,9.0,1.0,1.0,True,True,OnlyBlueLL_0625,4.7
6674bd2b56aae0985600d533,2,1,0,4.0,AllColorsLL1_0526,OnlyBlueLL_0625,7.3,8.6,3.26,2.45,1.0,0.0,1.0,11.0,1.0,8.0,-1.0,1.0,True,False,OnlyBlueLL_0625,4.7
6674bd2b56aae0985600d533,3,1,0,5.0,OnlyBlueLL_0625,OnlyBlueLH_0706,4.7,4.7,2.45,4.13,0.0,0.0,1.0,38.0,4.0,4.0,1.0,1.0,True,True,OnlyBlueLL_0625,4.7
6674bd2b56aae0985600d533,4,1,0,7.0,OnlyBlueLL_0625,OnlyGreenLL_0429,7.4,1.5,2.45,-0.79,0.0,1.0,1.0,25.0,4.0,5.0,-1.0,-1.0,False,False,OnlyBlueLL_0625,4.7
6674bd2b56aae0985600d533,5,1,0,10.0,OnlyBlueLL_0625,OnlyGreenLL_0429,-1.3,2.5,2.45,-0.79,0.0,1.0,0.0,12.0,4.0,1.0,-1.0,1.0,True,False,OnlyBlueLL_0625,4.7
5d684971f5868700184eab81,1,2,1,1.0,AllColorsLL1_0526,AllColorsLL2_0604,5.4,10.7,3.26,2.34,0.0,1.0,0.0,39.0,1.0,13.0,-1.0,1.0,True,False,AllColorsLH_0617,13.3
5d684971f5868700184eab81,3,2,1,2.0,AllColorsLL1_0526,AllColorsLH_0617,1.8,5.9,3.26,4.42,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,True,True,AllColorsLH_0617,13.3
5ce7fd368020d30018f9d7a5,1,4,0,3.0,AllColorsLL1_0526,AllColorsLL2_0604,1.8,0.3,3.26,2.34,1.0,0.0,0.0,23.0,3.0,9.0,-1.0,-1.0,False,False,NoRedLH3_0612,13.1
5ce7fd368020d30018f9d7a5,2,4,0,4.0,AllColorsLL2_0604,AllColorsLH_0617,2.5,7.8,2.34,4.42,1.0,1.0,1.0,11.0,1.0,4.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
5ce7fd368020d30018f9d7a5,3,4,0,5.0,AllColorsLH_0617,AllColorsLL1_0526,8.5,3.5,4.42,3.26,1.0,0.0,0.0,13.0,1.0,5.0,0.0,0.0,False,False,NoRedLH3_0612,13.1
5ce7fd368020d30018f9d7a5,4,4,0,16.0,AllColorsLL1_0526,AllColorsLH_0617,-2.0,-7.0,3.26,4.42,1.0,1.0,0.0,8.0,1.0,14.0,1.0,-1.0,False,True,NoRedLH3_0612,13.1
5ce7fd368020d30018f9d7a5,5,4,0,17.0,AllColorsLH_0617,NoRedLH3_0612,6.5,7.8,4.42,4.62,1.0,1.0,1.0,13.0,1.0,4.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
59baf1a2178f1b0001828a26,1,1,0,1.0,AllColorsLL1_0526,AllColorsLH_0617,2.7,7.8,3.26,4.42,1.0,1.0,1.0,20.0,1.0,9.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
59baf1a2178f1b0001828a26,2,1,0,1.0,AllColorsLH_0617,NoRedLH3_0612,10.2,10.6,4.42,4.62,1.0,1.0,1.0,22.0,4.0,5.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
59baf1a2178f1b0001828a26,3,1,0,2.0,NoRedLH3_0612,AllColorsLH_0617,6.5,5.4,4.62,4.42,0.0,1.0,1.0,18.0,4.0,17.0,1.0,-1.0,False,False,NoRedLH3_0612,13.1
59baf1a2178f1b0001828a26,4,1,0,3.0,NoRedLH3_0612,AllColorsLH_0617,4.6,2.1,4.62,4.42,0.0,1.0,1.0,38.0,3.0,10.0,1.0,-1.0,False,False,NoRedLH3_0612,13.1
5cfd68599d3b5700198ab635,1,0,0,,AllColorsLL1_0526,AllColorsLH_0617,3.5,8.5,3.26,4.42,1.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
5cfd68599d3b5700198ab635,2,0,0,,AllColorsLH_0617,NoRedLH3_0612,7.8,8.7,4.42,4.62,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
5cfd68599d3b5700198ab635,3,0,0,,NoRedLH3_0612,AllColorsLH_0617,7.8,7.8,4.62,4.42,1.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,True,False,NoRedLH3_0612,13.1
5cfd68599d3b5700198ab635,4,0,0,,AllColorsLH_0617,NoRedLH3_0612,5.4,6.5,4.42,4.62,1.0,1.0,1.0,0.0,0.0,17.0,1.0,1.0,True,True,NoRedLH3_0612,13.1
5cfd68599d3b5700198ab635,5,0,0,,NoRedLH3_0612,NoRedLH3_0612,6.4,4.7,4.62,4.13,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,False,False,NoRedLH3_0612,13.1
58404fd8ad98e40001ce915f,1,4,1,6.0,AllColorsLL1_0526,AllColorsLH_0617,-2.0,-7.0,3.26,4.42,1.0,1.0,0.0,29.0,1.0,11.0,1.0,-1.0,False,True,OnlyBlueLL_0625,4.7
58404fd8ad98e40001ce915f,2,4,1,6.0,AllColorsLH_0617,AllColorsLL1_0526,2.1,2.3,4.42,3.26,1.0,0.0,1.0,19.0,1.0,16.0,0.0,0.0,True,False,OnlyBlueLL_0625,4.7
58404fd8ad98e40001ce915f,3,4,1,7.0,AllColorsLL1_0526,OnlyBlueLL_0625,5.7,-5.0,3.26,2.45,1.0,0.0,0.0,14.0,1.0,12.0,-1.0,-1.0,False,False,OnlyBlueLL_0625,4.7
58404fd8ad98e40001ce915f,4,4,1,7.0,OnlyBlueLL_0625,OnlyBlueLH_0706,4.7,4.7,2.45,4.13,1.0,1.0,1.0,14.0,1.0,9.0,1.0,1.0,True,True,OnlyBlueLL_0625,4.7
58404fd8ad98e40001ce915f,5,4,1,8.0,OnlyBlueLH_0706,OnlyBlueLL_0625,4.5,7.4,4.13,2.45,1.0,0.0,1.0,15.0,1.0,3.0,-1.0,-1.0,True,False,OnlyBlueLL_0625,4.7
67dae759471e30afd08ad225,1,1,1,1.0,AllColorsLL1_0526,AllColorsLL2_0604,5.4,10.7,3.26,2.34,1.0,0.0,1.0,37.0,1.0,13.0,-1.0,1.0,True,False,OnlyBlueLH_0706,11.8
