Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68a586fb3a5ec59b8cbeb49c,6658c4239af9537eefdfbcc9,AWAITING REVIEW,Not Applicable,2025-08-20T08:32:50.420000Z,2025-08-20T08:43:31.087000Z,,2025-08-20T08:43:31.483672Z,641.0,C14M5UWB,2456,English,"No, I have no issues seeing colours",33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
68a58705de186187f32522c6,5cc39aa64d7a7f0001817c43,AWAITING REVIEW,Not Applicable,2025-08-20T08:27:59.053000Z,2025-08-20T08:44:56.350000Z,,2025-08-20T08:44:56.767173Z,1018.0,C14M5UWB,2353,English,"No, I have no issues seeing colours",39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a58708589cbd9b59761d2e,5b0710e7a84dcf0001beee8a,AWAITING REVIEW,Not Applicable,2025-08-20T08:28:08.949000Z,2025-08-20T09:02:19.266000Z,,2025-08-20T09:02:19.732236Z,2051.0,C14M5UWB,3385,English,"No, I have no issues seeing colours",55,Female,Mixed,Singapore,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68a5870d7fc4a09ebc8d0de6,5c9d88bb2b3c77001744ec1c,AWAITING REVIEW,Not Applicable,2025-08-20T08:31:15.228000Z,2025-08-20T09:21:07.435000Z,,2025-08-20T09:21:07.854359Z,2993.0,C14M5UWB,4725,English,"No, I have no issues seeing colours",39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68a5872ae6c7df2e2d5512e3,5a6b844fe6cc4a0001b6a656,AWAITING REVIEW,Not Applicable,2025-08-20T08:28:40.121000Z,2025-08-20T08:43:48.406000Z,,2025-08-20T08:43:48.889707Z,909.0,C14M5UWB,3296,English,"No, I have no issues seeing colours",41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a5874db4f58f0737c2d9e6,6765e84a9352323bd525b324,AWAITING REVIEW,Not Applicable,2025-08-20T08:29:06.289000Z,2025-08-20T08:40:56.236000Z,,2025-08-20T08:40:56.674914Z,710.0,C14M5UWB,272,"English, Bulgarian, Russian","No, I have no issues seeing colours",46,Female,White,Bulgaria,United Kingdom,United Kingdom,Bulgarian,No,Full-Time
68a5875064d72daacf7a393f,582f8bbd4cadc80001b0fbd3,AWAITING REVIEW,Not Applicable,2025-08-20T08:29:09.864000Z,2025-08-20T08:52:18.513000Z,,2025-08-20T08:52:18.955807Z,1389.0,C14M5UWB,2804,English,"No, I have no issues seeing colours",39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68a5875ca3dee9e69b20b9e5,6765b501bf830acd8f0e20ba,AWAITING REVIEW,Not Applicable,2025-08-20T08:29:21.347000Z,2025-08-20T09:11:39.898000Z,,2025-08-20T09:11:40.345455Z,2539.0,C14M5UWB,619,English,"No, I have no issues seeing colours",43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68a58763deedd78206789149,6655dd1f8fa8f27af8a98304,AWAITING REVIEW,Not Applicable,2025-08-20T08:29:23.053000Z,2025-08-20T09:05:26.215000Z,,2025-08-20T09:05:26.648152Z,2164.0,C14M5UWB,615,English,"No, I have no issues seeing colours",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a5877a0cd5b53cf20ae66e,5a991dd86475f900019fe4b6,AWAITING REVIEW,Not Applicable,2025-08-20T08:31:54.450000Z,2025-08-20T08:57:23.723000Z,,2025-08-20T08:57:24.116549Z,1530.0,C14M5UWB,3060,English,"No, I have no issues seeing colours",46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
