user_id,similarity_level,Trust_the_agent,number_of_choices,number_of_accepts,number_of_good_choices,number_of_good_choices_last,number_of_improved_choices,final_improved,final_agent_score,final_agent_name,max_feedback_score,final_agent_final_part_score,user_performance,age,gender,education,familiarity_with_AI,evaluate_AI,AI_1,SS_1,AI_2,SS_2,AI_3,SS_3,AI_4,SS_4,AI_5,SS_5
545d347afdf99b7f9fca22c7,1,0,3,2,3,3,3,1,10.87,NoRedLH1_0612,1.0,11.2,14.4,35,0,2,4,3.0,5,7,4,7,6,1,1,7,5,7
559b8c79fdf99b5ae13fd3d1,2,1,3,1,2,1,1,1,9.39,AllColorsLH_0617,1.0,10.2,,57,1,2,4,5.0,5,3,5,7,6,7,3,3,6,3
55a1d8e2fdf99b1c103f2660,0,1,5,5,5,5,4,1,9.39,AllColorsLH_0617,,10.2,,54,0,1,5,2.0,6,,6,,7,,2,,7,
561cdc083d7fe800050f591a,1,1,3,3,3,3,3,1,10.87,NoRedLH1_0612,2.0,11.2,,59,1,3,4,6.0,6,4,4,7,6,5,3,3,6,3
56aa2ab9402d62000c7096f2,0,1,5,5,5,5,0,0,6.48,AllColorsLL1_0526,,3.9,,58,1,2,4,6.0,6,,5,,7,,3,,5,
56b10faa6399f90011da710d,3,0,1,1,1,1,1,1,7.49,OnlyBlueLL_0625,3.0,1.7,8.8,36,1,2,4,5.0,6,6,7,7,7,6,4,6,6,6
56b3edf12bac74000d89e452,2,0,4,4,3,4,4,1,10.87,NoRedLH1_0612,1.0,11.2,14.4,33,1,3,4,3.0,4,3,5,7,6,3,7,4,3,7
56b78f11e77ebe000cbefe79,3,1,3,2,2,2,3,1,8.84,OnlyBlueLH_0706,6.0,10.4,,59,1,3,2,3.0,4,2,4,7,6,5,3,3,5,4
571b79495d40840009c448fe,1,0,4,3,3,4,1,1,9.39,AllColorsLH_0617,2.0,10.2,14.4,46,1,6,4,2.0,4,6,5,7,6,5,5,6,4,6
572faa2cad131600100169b5,2,1,3,3,3,3,3,1,10.87,NoRedLH1_0612,10.0,11.2,,40,1,3,4,5.0,7,2,7,7,7,3,3,3,7,3
573dbfc9cc30e7000dc57410,1,0,5,4,4,3,5,1,9.39,AllColorsLH_0617,1.0,10.2,13.2,60,1,3,2,4.0,5,6,5,7,5,2,4,6,5,6
577a3dfd92c50c0001c9488f,2,1,2,2,2,2,2,1,10.87,NoRedLH1_0612,4.0,11.2,,62,0,2,4,5.0,4,4,4,7,7,4,2,4,5,7
57aa0bdb9ff3e900014135d9,3,1,3,3,2,2,0,1,9.39,AllColorsLH_0617,3.0,10.2,,36,0,3,4,4.0,5,6,6,7,6,3,2,5,5,6
5883d68d300c0b000113db56,3,1,2,2,2,2,2,1,9.39,AllColorsLH_0617,1.0,10.2,,53,1,3,4,7.0,5,5,6,7,7,3,4,5,5,5
58954e2dc88c680001dd4b7e,0,0,5,5,2,4,1,-1,1.88,OnlyGreenLL_0429,,-8.3,13.3,60,0,2,4,6.0,5,,5,,6,,7,,3,
58a1fe40ea3d11000170d9b9,1,1,4,2,4,4,3,1,10.87,NoRedLH1_0612,1.0,11.2,,33,1,3,4,6.0,7,5,7,7,7,1,7,7,7,7
58cd0bc2a47dbb000171dc8b,0,0,5,5,5,5,5,1,9.39,AllColorsLH_0617,,10.2,0.0,61,0,2,4,1.0,7,,7,,7,,1,,7,
59142b45ef024b0001c54c33,0,1,5,5,4,5,3,1,9.39,AllColorsLH_0617,,10.2,,45,1,2,4,2.0,5,,6,,5,,3,,5,
5959cf88dd044900012cd375,3,0,4,2,1,1,2,1,8.84,OnlyBlueLH_0706,3.0,10.4,12.6,35,0,3,4,2.0,6,6,5,7,7,2,3,5,5,6
5978f6f009bdcf000153f43d,3,0,4,3,3,3,2,1,8.84,OnlyBlueLH_0706,1.0,10.4,3.9,60,0,5,6,2.0,7,6,7,7,7,1,4,7,7,4
599da21f872eec00019569ff,3,0,4,2,2,2,4,1,10.87,NoRedLH1_0612,3.0,11.2,13.8,33,0,2,4,2.0,5,5,5,7,7,3,2,5,6,5
59bc25620ac77f0001f05574,1,1,1,1,1,1,1,1,8.84,OnlyBlueLH_0706,0.0,10.4,,35,1,3,4,7.0,5,7,5,7,5,1,4,7,5,7
59d3ef2c078dbe000195117f,1,0,4,4,3,3,1,1,10.87,NoRedLH1_0612,8.0,11.2,8.7,50,1,3,4,2.0,7,6,7,7,7,1,7,6,7,6
59dccd61e75b450001a689b7,0,1,5,5,4,4,4,1,9.39,AllColorsLH_0617,,10.2,,58,0,4,5,2.0,4,,5,,6,,4,,2,
5a198755f2e3460001edc5c9,1,0,2,1,2,2,1,1,8.84,OnlyBlueLH_0706,1.0,10.4,9.1,37,0,2,5,2.0,5,5,4,7,7,1,1,6,7,6
5a5d060ee0cf3d0001269471,1,1,3,3,2,3,3,1,9.39,AllColorsLH_0617,2.0,10.2,,35,1,3,3,3.0,4,6,3,7,5,5,3,6,5,7
5aad226f811b2000016f6be2,2,0,4,1,4,3,2,1,8.84,OnlyBlueLH_0706,4.0,10.4,13.4,46,0,3,3,4.0,1,2,1,7,1,4,4,5,2,6
5aafd9eff69e940001d88bf4,1,1,2,1,1,1,2,1,8.84,OnlyBlueLH_0706,1.0,10.4,,59,1,3,2,4.0,1,4,1,7,1,4,7,3,1,5
5ab8c3fb9534ba0001c6b60d,0,1,5,5,4,4,5,1,7.49,OnlyBlueLL_0625,,1.7,,46,0,3,4,1.0,7,,7,,7,,1,,7,
5aea16d3ff24e0000124b803,3,1,4,4,3,4,1,1,10.87,NoRedLH1_0612,4.0,11.2,,37,1,5,3,2.0,3,5,4,7,5,2,4,3,5,6
5b10527374db8f00013fdc57,2,0,4,2,3,2,3,1,8.84,OnlyBlueLH_0706,7.0,10.4,13.2,36,1,2,4,3.0,6,2,7,7,7,4,4,2,5,4
5b9095901e21c10001e9e8ee,2,0,3,2,3,3,3,1,9.39,AllColorsLH_0617,1.0,10.2,13.4,45,0,4,4,2.0,4,5,4,7,5,1,7,1,4,4
5b985404a15058000124e508,0,0,5,5,4,4,4,1,10.87,NoRedLH1_0612,,11.2,14.3,31,0,3,4,2.0,3,,6,,6,,6,,3,
